#
#   Spectrum of the blue flame from a butane torch showing excited molecular radical band emission and Swan bands.
#   Wikipedia User:Eli Rabett
#   Ocean Optics HR2000 spectrometer
#
#   the division between CH and C2 (Swan bands) is about 433 nm
#
#   File talk:Spectrum of blue flame - intensity corrected.png
#   January 2007
#   https://en.wikipedia.org/wiki/File_talk:Spectrum_of_blue_flame_-_intensity_corrected.png

wavelength,irradiance
750.13,0.013
750.57,0.014
751.01,0.015
751.45,0.016
751.89,0.014
752.33,0.019
752.77,0.015
753.21,0.017
753.65,0.013
754.09,0.011
754.53,0.013
754.97,0.01
755.41,0.012
755.85,0.01
756.29,0.011
756.73,0.016
757.17,0.016
757.61,0.013
758.05,0.015
758.49,0.012
758.93,0.01
759.37,0.011
759.81,0.012
760.25,0.016
760.69,0.016
761.12,0.016
761.56,0.016
762,0.013
762.44,0.015
762.88,0.016
763.32,0.011
763.76,0.007
764.2,0.012
764.64,0.018
765.08,0.015
765.52,0.013
765.96,0.01
766.4,0.009
766.84,0.011
767.28,0.012
767.72,0.013
768.16,0.011
768.6,0.021
769.03,0.014
769.47,0.015
769.91,0.012
770.35,0.02
770.79,0.016
771.23,0.011
771.67,0.01
772.11,0.012
772.55,0.008
772.99,0.01
773.42,0.013
773.86,0.013
774.3,0.012
774.74,0.01
775.18,0.01
775.62,0.01
776.06,0.012
776.5,0.014
776.93,0.016
777.37,0.012
777.81,0.012
778.25,0.012
778.69,0.01
779.13,0.011
779.57,0.009
780,0.011
780.44,0.01
780.88,0.015
781.32,0.013
781.76,0.009
782.2,0.005
782.64,0.008
783.07,0.013
783.51,0.013
783.95,0.011
784.39,0.01
784.83,0.009
785.26,0.008
785.7,0.013
786.14,0.014
786.58,0.022
787.02,0.018
787.46,0.017
787.89,0.014
788.33,0.008
788.77,0.015
789.21,0.013
789.65,0.016
790.08,0.015
790.52,0.018
790.96,0.01
791.4,0.011
791.83,0.009
792.27,0.007
792.71,0.008
793.15,0.013
793.59,0.012
794.02,0.013
794.46,0.009
794.9,0.011
795.34,0.013
795.77,0.016
796.21,0.011
796.65,0.012
797.09,0.015
797.52,0.013
797.96,0.014
798.4,0.015
798.84,0.009
799.27,0.012
799.71,0.008
800.15,0.012
800.58,0.009
801.02,0.015
801.46,0.016
801.9,0.014
802.33,0.015
802.77,0.009
803.21,0.01
803.64,0.008
804.08,0.013
804.52,0.014
804.96,0.011
805.39,0.014
805.83,0.006
806.27,0.015
806.7,0.013
807.14,0.01
807.58,0.012
808.01,0.013
808.45,0.022
808.89,0.018
809.32,0.021
809.76,0.018
810.2,0.021
810.63,0.022
811.07,0.021
811.51,0.018
811.94,0.019
812.38,0.027
812.82,0.02
813.25,0.02
813.69,0.022
814.13,0.021
814.56,0.018
815,0.028
815.43,0.02
815.87,0.016
816.31,0.026
816.74,0.022
817.18,0.023
817.62,0.02
818.05,0.015
818.49,0.022
818.92,0.015
819.36,0.019
819.8,0.014
820.23,0.013
820.67,0.016
821.1,0.011
821.54,0.011
821.98,0.017
822.41,0.018
822.85,0.022
823.28,0.023
823.72,0.016
824.16,0.016
824.59,0.014
825.03,0.022
825.46,0.02
825.9,0.018
826.33,0.018
826.77,0.011
827.21,0.02
827.64,0.026
828.08,0.027
828.51,0.04
828.95,0.028
829.38,0.025
829.82,0.021
830.25,0.016
830.69,0.021
831.12,0.019
831.56,0.024
832,0.021
832.43,0.021
832.87,0.018
833.3,0.023
833.74,0.017
834.17,0.023
834.61,0.018
835.04,0.019
835.48,0.013
835.91,0.022
836.35,0.028
836.78,0.017
837.22,0.016
837.65,0.027
838.09,0.022
838.52,0.014
838.96,0.015
839.39,0.017
839.83,0.013
840.26,0.012
840.7,0.016
841.13,0.018
841.57,0.02
842,0.022
842.43,0.023
842.87,0.026
843.3,0.022
843.74,0.026
844.17,0.025
844.61,0.017
845.04,0.009
845.48,0.016
845.91,0.014
846.35,0.016
846.78,0.017
847.21,0.019
847.65,0.021
848.08,0.019
848.52,0.018
848.95,0.019
849.39,0.021
849.82,0.03
850.25,0.023
850.69,0.018
851.12,0.024
851.56,0.017
851.99,0.013
852.42,0.017
852.86,0.021
853.29,0.022
853.73,0.036
854.16,0.023
854.59,0.021
855.03,0.021
855.46,0.022
855.9,0.021
856.33,0.016
856.76,0.022
857.2,0.02
857.63,0.017
858.06,0.021
858.5,0.014
858.93,0.015
859.37,0.016
859.8,0.013
860.23,0.018
860.67,0.018
861.1,0.013
861.53,0.009
861.97,0.011
862.4,0.015
862.83,0.021
863.27,0.014
863.7,0.024
864.13,0.012
864.57,0.024
865,0.014
865.43,0.026
865.87,0.016
866.3,0.016
866.73,0.009
867.17,0.007
867.6,0.044
868.03,0.04
868.47,0.024
868.9,0.017
869.33,0.017
869.76,0.026
870.2,0.014
870.63,0.013
871.06,0.006
871.5,0.011
871.93,0.008
872.36,0.012
872.79,0.029
873.23,0.016
873.66,0.008
874.09,-0.001
874.52,0.015
874.96,0.01
875.39,0.022
875.82,0.015
876.26,0.011
876.69,0.015
877.12,-0.002
877.55,0.008
877.99,0.023
878.42,0.015
878.85,0.018
879.28,0.011
879.71,0.012
880.15,0.006
880.58,0.016
881.01,0.018
881.44,0.021
881.88,0.018
882.31,0.01
882.74,0.009
883.17,0.007
883.6,0.009
884.04,0.005
884.47,0.004
884.9,0.026
885.33,0.024
885.77,0.012
886.2,0.007
886.63,0.005
887.06,0.009
